bear_sum,bluey2_sum,camo2_sum,greys_sum,inverse_ring_sum,orn_grn_sum,pinks_sum,reversed_ring_sum,ring_sum,standard_1_sum,standard_2_sum,standard_3_sum,usr_scores_bear_mean,usr_scores_bluey2_mean,usr_scores_camo2_mean,usr_scores_greys_mean,usr_scores_inverse_ring_mean,usr_scores_orn_grn_mean,usr_scores_pinks_mean,usr_scores_reversed_ring_mean,usr_scores_ring_mean,usr_scores_standard_1_mean,usr_scores_standard_2_mean,usr_scores_standard_3_mean,cb1_responses,cb2_responses,ncb_responses,cb1_percent_correct,cb2_percent_correct,ncb_percent_correct,percent_correct,responses,unknown_1_corr,male_ncb_2_corr,colourblind_type1_3_corr,unknown_4_corr,unknown_5_corr,unknown_6_corr,unknown_7_corr,male_8_corr,male_9_corr,male_ncb_10_corr,colourblind_type2_11_corr,male_12_corr,male_13_corr,unknown_14_corr,unknown_15_corr,female_16_corr,female_17_corr,unkown_18_corr,unkown_19_corr,male_20_corr,unknown_21_corr,unknown_22_corr,unknown_23_corr,colourblind_type2_24_corr,male_ncb_25_corr,female_ncb_26_corr,male_ncb_27_corr,colourblind_type1_28_corr,female_ncb_29_corr,unknown_30_corr,user
4,7,5,2,1,5,1,1,2,0,5,5,0.8,0.7777777777777778,0.5,0.2857142857142857,0.14285714285714285,0.8333333333333334,0.25,0.09090909090909091,0.6666666666666666,0.0,0.8333333333333334,0.7142857142857143,20,38,52,0.2597402597402597,0.4935064935064935,0.6753246753246753,0.4935064935064935,77,1.0,0.4022416299757536,-0.15077536063076943,0.5550283773045042,0.47655055593332357,0.4699768114134,0.4873313704425764,0.10753235394602406,0.5620796648443057,0.05273790645831511,0.1680460854688691,0.5030729401456548,0.687901945564981,0.32777109929090553,0.561355381088877,0.41873536806955514,0.4594837505657124,0.2687121137052121,0.5080313686386879,0.6487522528474631,0.6096303554295867,0.21210927675421695,0.4345236489007303,0.054599671508162875,0.3769332167733081,0.3922573556681019,0.5963941979548312,-0.008693086447617597,0.41946501700455685,0.5879050861121884,unknown_1
6,2,6,3,3,4,3,3,4,5,2,3,1.0,1.0,1.0,1.0,0.75,1.0,0.375,0.6,0.4444444444444444,0.8333333333333334,1.0,0.75,18,34,33,0.3050847457627119,0.576271186440678,0.559322033898305,0.7457627118644068,59,0.4022416299757536,1.0,0.08086722214375693,0.8680798069871076,0.7785964527332623,0.8838793801138476,0.8273194278341081,0.6482335440678756,0.6234471864356075,0.743159827988567,0.22542469505128881,0.8740028044763736,0.723996337695951,0.7927851284404874,0.7868536359824169,0.8845059209651529,0.8826752121620526,0.4414018639799922,0.8356671167659029,0.7111875201596216,0.2602091780944094,0.542260204075245,0.5308069597423487,0.20108474334515236,0.8054209906418491,0.8799822058419078,0.8626392246395024,0.05734903064646042,0.8474354863607702,0.7951598584717477,male_ncb_2
6,7,27,6,13,7,10,9,15,8,7,10,0.2222222222222222,0.3888888888888889,0.9,0.42857142857142855,0.6190476190476191,0.2692307692307692,0.3333333333333333,0.47368421052631576,0.4411764705882353,0.3076923076923077,0.5,0.45454545454545453,79,151,177,0.28113879003558717,0.5373665480427047,0.6298932384341637,0.44483985765124556,281,-0.15077536063076943,0.08086722214375693,1.0,-0.054190656106807726,-0.17744452635768276,0.04120399896290391,-0.3418397008467303,-0.002842702268082298,0.030365699434184153,0.418032217041619,-0.386081928062931,0.0445007506352494,-0.011980817253978177,0.2603635126420417,-0.00410680554699425,0.01184672093393653,0.006983048106408786,0.4928077963182521,-0.09838756234654815,-0.026818217490766648,-0.5695170892040553,-0.2650340375164151,0.15683277035307286,-0.31593206097609383,-0.017346032051168202,0.07142467290332104,-0.0018517301848297307,0.7307043863032812,0.024944915669279765,-0.025717514635741633,colourblind_type1_3
41,35,44,30,12,43,3,5,12,41,31,31,0.5857142857142857,0.5072463768115942,0.5432098765432098,0.40540540540540543,0.20689655172413793,0.5584415584415584,0.0379746835443038,0.07462686567164178,0.1875,0.5,0.4626865671641791,0.5,208,418,582,0.2447058823529412,0.49176470588235294,0.6847058823529412,0.38588235294117645,850,0.5550283773045042,0.8680798069871076,-0.054190656106807726,1.0,0.8159637194761092,0.9474400560545547,0.8942815993508277,0.7780152288833619,0.7270149863459474,0.5116684340228944,0.3751133820286207,0.8013182744854291,0.8853898037381487,0.8091539093638279,0.9268729811844597,0.9507808973119344,0.9568541506404891,0.533785724951125,0.9522303035485419,0.8831164455116283,0.410180943486848,0.7863587827028907,0.6679374564273615,0.277061435478604,0.9170022824083263,0.9167174278019969,0.9513023777137708,0.00655536905857014,0.944583218344866,0.923340514256175,unknown_4
16,10,9,19,6,18,1,3,10,10,22,10,0.45714285714285713,0.37037037037037035,0.32142857142857145,0.5588235294117647,0.23076923076923078,0.47368421052631576,0.03225806451612903,0.12,0.3125,0.45454545454545453,0.55,0.4166666666666667,95,175,248,0.26243093922651933,0.48342541436464087,0.6850828729281768,0.3701657458563536,362,0.47655055593332357,0.7785964527332623,-0.17744452635768276,0.8159637194761092,1.0,0.8661207070640621,0.8912009834364596,0.5695340067615102,0.525372056181305,0.4655889327066609,0.3627231456114783,0.6736435338041555,0.8764783192717577,0.84388083363125,0.9117536696777827,0.7876135252417937,0.8669536263683162,0.24679529558346414,0.8438011922864069,0.8678934250097139,0.56023417216525,0.7613539504133666,0.6871186437448127,0.31532143474726815,0.7871900542513037,0.8591082346325443,0.9133378373565129,0.057326587442448125,0.8294065806372293,0.8661264215118976,unknown_5
36,36,42,35,12,34,4,2,9,38,38,29,0.47368421052631576,0.4864864864864865,0.5753424657534246,0.5384615384615384,0.16,0.5151515151515151,0.058823529411764705,0.024096385542168676,0.13846153846153847,0.5066666666666667,0.5588235294117647,0.47540983606557374,214,407,558,0.25206124852767964,0.4793875147232038,0.657243816254417,0.3710247349823322,849,0.4699768114134,0.8838793801138476,0.04120399896290391,0.9474400560545547,0.8661207070640621,1.0,0.901535782006359,0.7508137132556976,0.6765766859658744,0.6486916075261173,0.2751512298833126,0.8143838792154443,0.8863982235368538,0.9207416885618496,0.9200749046809523,0.9547804646957356,0.9715130883535115,0.5341489687739436,0.9824294527751023,0.9228341890029677,0.3079198167821075,0.7947597872961454,0.720661659484158,0.09990942348851488,0.9484406201010274,0.9409511124018668,0.9541701688597154,0.12435849520761495,0.9584885446453203,0.9553195795041867,unknown_6
9,6,5,6,3,10,2,1,3,8,12,7,0.5294117647058824,0.42857142857142855,0.29411764705882354,0.42857142857142855,0.1,0.47619047619047616,0.07692307692307693,0.0625,0.13043478260869565,0.5,0.5217391304347826,0.3333333333333333,60,131,143,0.25210084033613445,0.5504201680672269,0.6008403361344538,0.3025210084033613,238,0.4873313704425764,0.8273194278341081,-0.3418397008467303,0.8942815993508277,0.8912009834364596,0.901535782006359,1.0,0.5988016904367062,0.5115563819438216,0.45309142341405906,0.4025956783445408,0.736937019258675,0.8018032628447733,0.7456967688725836,0.8459880415661115,0.8869120387569168,0.8874415016439509,0.21373624598638524,0.9253946691070389,0.8281205166914837,0.5179896425961813,0.783137100660247,0.6312319527765287,0.3004308270152273,0.8382098376807944,0.8533987309929001,0.8823621380323113,-0.22801228838251505,0.8709305488995794,0.8787626268325033,unknown_7
5,4,6,3,1,2,0,0,0,2,0,2,0.7142857142857143,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9,19,29,0.21428571428571427,0.4523809523809524,0.6904761904761905,0.5952380952380952,42,0.10753235394602406,0.6482335440678756,-0.002842702268082298,0.7780152288833619,0.5695340067615102,0.7508137132556976,0.5988016904367062,1.0,0.7558091350527867,0.44960953003837534,0.3429302809274555,0.6142452138772104,0.6295835804802898,0.6704900270623534,0.6994201265710674,0.7413535399327522,0.7749044174674922,0.6639276408000178,0.7630053527463995,0.6522760485066909,0.12767174697060768,0.7882722791904356,0.37840566356911765,0.14093935463480728,0.8668098315425479,0.7303811018262729,0.703597012597909,0.12800186641223554,0.7805959011849871,0.686290225256209,male_8
6,2,6,3,2,4,4,1,6,3,1,4,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.2,0.6,0.5,0.5,1.0,19,34,33,0.3220338983050847,0.576271186440678,0.559322033898305,0.711864406779661,59,0.5620796648443057,0.6234471864356075,0.030365699434184153,0.7270149863459474,0.525372056181305,0.6765766859658744,0.5115563819438216,0.7558091350527867,1.0,0.4336914266385968,0.08059549326783969,0.6098304433468611,0.7550740067160514,0.569084212406669,0.7009637267818072,0.6243210975780027,0.7268991452406574,0.6531995339967814,0.6936747448659649,0.6786469288986949,0.3135793440155593,0.5335685771039446,0.39276949616998136,0.0012968090665492161,0.690938670464006,0.5859351721006462,0.7227180413382206,0.3073513052542222,0.6536839268977153,0.6938100406201863,male_9
14,19,21,17,20,21,23,20,15,25,24,21,0.9333333333333333,1.0,1.0,1.0,1.0,0.9545454545454546,0.92,0.9090909090909091,0.8823529411764706,0.9615384615384616,1.0,0.9545454545454546,61,122,166,0.244,0.488,0.664,0.96,250,0.05273790645831511,0.743159827988567,0.418032217041619,0.5116684340228944,0.4655889327066609,0.6486916075261173,0.45309142341405906,0.44960953003837534,0.4336914266385968,1.0,-0.14649693982912876,0.5562040325336463,0.41978588761021074,0.6635807675820613,0.4939806464264125,0.6549329359961101,0.6825217606062121,0.2896794674841188,0.5515704714446102,0.4292660813217835,-0.21934311470388196,0.35033819099357155,0.348206546518257,-0.1809581791611655,0.5092312964113443,0.6171257041830506,0.5344166493080079,0.45677835899227087,0.5617998019617555,0.4724111181435003,male_ncb_10
