user,counter,correct,recorded_result,mask_image,cb_type1,cb_type2,ncb,datetime,random_spread,pallet_used,pallet_values,ishihara_list,COLORS_ON,COLORS_OFF
PqPSs5b7uNc,11,0,B,E,0,0,1,03:23.0,10,Plates_36-37,"['#fb6460', '#fb8a76', '#ef5e47', '#fa8757', '#fd7340', '#f96a52', '#716e29', '#4d493c', '#ab9b4e', '#706c44', '#455941', '#405030']","[(243, 100, 87), (249, 145, 111), (243, 99, 67), (244, 141, 91), (248, 107, 61), (247, 106, 91), (116, 109, 48), (69, 75, 62), (166, 158, 82), (119, 117, 61), (63, 93, 74), (70, 79, 46)]","[(243, 100, 87), (249, 145, 111), (243, 99, 67), (244, 141, 91), (248, 107, 61), (247, 106, 91)]","[(116, 109, 48), (69, 75, 62), (166, 158, 82), (119, 117, 61), (63, 93, 74), (70, 79, 46)]"
PqPSs5b7uNc,12,0,U,B,0,0,1,03:28.9,10,Plates_32-33,"['#f98f4f', '#dc522e', '#f2693c', '#eea055', '#ff6839', '#eea050', '#6f6a22', '#d0bd5a', '#8b8134', '#6b8382', '#6c7f82', '#d6b04a']","[(250, 143, 81), (228, 74, 39), (247, 107, 66), (241, 160, 79), (247, 109, 66), (230, 166, 80), (101, 102, 33), (208, 196, 91), (146, 124, 61), (104, 135, 130), (114, 121, 139), (216, 176, 82)]","[(250, 143, 81), (228, 74, 39), (247, 107, 66), (241, 160, 79), (247, 109, 66), (230, 166, 80)]","[(101, 102, 33), (208, 196, 91), (146, 124, 61), (104, 135, 130), (114, 121, 139), (216, 176, 82)]"
PqPSs5b7uNc,13,1,5,5,1,0,1,03:34.8,10,Plates_22-27D,"['#f44d3b', '#ee2f24', '#efa892', '#fb5c51', '#f8241f', '#efa893', '#7d6b5f', '#23262d', '#4e4245', '#7e6c5c', '#827059', '#4e4240']","[(244, 69, 68), (240, 47, 44), (232, 176, 152), (249, 100, 77), (244, 45, 25), (243, 162, 155), (129, 104, 97), (34, 34, 38), (85, 69, 64), (133, 98, 88), (124, 119, 95), (72, 66, 56)]","[(244, 69, 68), (240, 47, 44), (232, 176, 152), (249, 100, 77), (244, 45, 25), (243, 162, 155)]","[(129, 104, 97), (34, 34, 38), (85, 69, 64), (133, 98, 88), (124, 119, 95), (72, 66, 56)]"
PqPSs5b7uNc,14,0,U,N,0,0,1,03:38.3,10,Plates_6-9,"['#7d8762', '#bcc967', '#69603a', '#baa955', '#ad9556', '#bcc966', '#d65153', '#fc8b67', '#fe9466', '#e85a41', '#f0b55e', '#fe733e']","[(128, 142, 91), (196, 207, 107), (106, 101, 66), (192, 163, 80), (170, 144, 77), (180, 195, 105), (205, 71, 81), (243, 138, 110), (247, 144, 107), (234, 83, 56), (232, 180, 90), (246, 113, 67)]","[(128, 142, 91), (196, 207, 107), (106, 101, 66), (192, 163, 80), (170, 144, 77), (180, 195, 105)]","[(205, 71, 81), (243, 138, 110), (247, 144, 107), (234, 83, 56), (232, 180, 90), (246, 113, 67)]"
PqPSs5b7uNc,15,0,E,B,0,0,1,03:43.3,10,inverse_ring,"['#3a4c78', '#b27180', '#95507b', '#515267', '#314070', '#bd4f75', '#cb607f', '#B47E94', '#da567e', '#b55d7a', '#666177', '#54516f']","[(56, 69, 117), (179, 104, 126), (147, 75, 114), (76, 82, 100), (55, 62, 108), (198, 85, 119), (206, 90, 121), (184, 132, 154), (220, 86, 121), (177, 98, 130), (110, 97, 123), (79, 87, 105)]","[(56, 69, 117), (179, 104, 126), (147, 75, 114), (76, 82, 100), (55, 62, 108), (198, 85, 119)]","[(206, 90, 121), (184, 132, 154), (220, 86, 121), (177, 98, 130), (110, 97, 123), (79, 87, 105)]"
PqPSs5b7uNc,16,1,1,1,0,0,1,03:56.6,10,Plates_34-35,"['#a6ad62', '#576f54', '#999d62', '#69653e', '#bfaf5f', '#a38f4f', '#fac243', '#d95415', '#ff814f', '#fdb654', '#b44747', '#bd7270']","[(175, 165, 104), (89, 120, 85), (153, 152, 97), (108, 97, 62), (191, 176, 87), (153, 142, 74), (249, 191, 71), (220, 87, 29), (249, 120, 70), (249, 177, 77), (175, 67, 80), (192, 116, 110)]","[(175, 165, 104), (89, 120, 85), (153, 152, 97), (108, 97, 62), (191, 176, 87), (153, 142, 74)]","[(249, 191, 71), (220, 87, 29), (249, 120, 70), (249, 177, 77), (175, 67, 80), (192, 116, 110)]"
PqPSs5b7uNc,17,1,E,E,0,0,1,04:01.0,10,camo2,"['#fb6a4a', '#de2d27', '#fb6a4a', '#de2d27', '#fb6a4a', '#de2d27', '#906d18', '#c98d42', '#906d18', '#c98d42', '#906d18', '#c98d42']","[(253, 108, 65), (227, 54, 33), (245, 98, 71), (222, 42, 33), (245, 98, 75), (219, 49, 46), (137, 112, 23), (204, 146, 64), (134, 100, 30), (209, 137, 56), (140, 107, 22), (198, 143, 72)]","[(253, 108, 65), (227, 54, 33), (245, 98, 71), (222, 42, 33), (245, 98, 75), (219, 49, 46)]","[(137, 112, 23), (204, 146, 64), (134, 100, 30), (209, 137, 56), (140, 107, 22), (198, 143, 72)]"
PqPSs5b7uNc,18,0,C,4,0,1,1,04:08.7,10,Plates_22-27P,"['#fe5b55', '#f95c50', '#9d4053', '#f55d52', '#9d4054', '#fe5b51', '#7d6b5f', '#23262d', '#4e4245', '#7e6c5c', '#827059', '#4e4240']","[(246, 81, 82), (251, 96, 74), (165, 66, 87), (253, 90, 72), (156, 61, 92), (249, 84, 81), (129, 105, 93), (26, 47, 44), (85, 56, 66), (120, 104, 88), (139, 119, 88), (78, 72, 54)]","[(246, 81, 82), (251, 96, 74), (165, 66, 87), (253, 90, 72), (156, 61, 92), (249, 84, 81)]","[(129, 105, 93), (26, 47, 44), (85, 56, 66), (120, 104, 88), (139, 119, 88), (78, 72, 54)]"
PqPSs5b7uNc,19,1,1,1,0,0,1,04:18.9,10,Plates_34-35,"['#a6ad62', '#576f54', '#999d62', '#69653e', '#bfaf5f', '#a38f4f', '#fac243', '#d95415', '#ff814f', '#fdb654', '#b44747', '#bd7270']","[(161, 169, 94), (96, 109, 77), (159, 164, 88), (96, 93, 52), (183, 172, 92), (168, 143, 82), (248, 196, 58), (224, 74, 25), (248, 120, 69), (253, 183, 81), (185, 78, 78), (188, 109, 107)]","[(161, 169, 94), (96, 109, 77), (159, 164, 88), (96, 93, 52), (183, 172, 92), (168, 143, 82)]","[(248, 196, 58), (224, 74, 25), (248, 120, 69), (253, 183, 81), (185, 78, 78), (188, 109, 107)]"
PqPSs5b7uNc,20,0,U,N,0,0,1,04:23.1,10,inverse_ring,"['#3a4c78', '#b27180', '#95507b', '#515267', '#314070', '#bd4f75', '#cb607f', '#B47E94', '#da567e', '#b55d7a', '#666177', '#54516f']","[(58, 85, 120), (176, 122, 130), (154, 85, 123), (90, 75, 110), (56, 59, 113), (188, 81, 118), (205, 101, 129), (179, 129, 150), (208, 82, 116), (175, 99, 126), (105, 87, 125), (81, 74, 118)]","[(58, 85, 120), (176, 122, 130), (154, 85, 123), (90, 75, 110), (56, 59, 113), (188, 81, 118)]","[(205, 101, 129), (179, 129, 150), (208, 82, 116), (175, 99, 126), (105, 87, 125), (81, 74, 118)]"
